#Top: ios   Floorplan: io_1   Part: xc7k70tfbv676-2
#Generated by: dpeascoe   on: Fri Feb 20 10:06:56 2015
#Build: Vivado v2015.1   by: xbuild   on: Tue Feb 17 11:45:11 MST 2015

################################################################################
#INVALID / INCOMPLETE PINOUT
#There are 135 unassigned signals in this design. The last 135 rows of this file list these signals.
################################################################################

IO Bank,Pin Number,IOB Alias,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Trace Length (um),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,OUTPUT_IMPEDANCE,PRE_EMPHASIS,LVDS_PRE_EMPHASIS,Pull Type,IN_TERM,DIFF_TERM,OFFCHIP_TERM,Board Signal,Board Voltage
0,N12,IPAD_X0Y66,VP_0,49.045,49.538,,,,,,,,,,,,,,,,,,,
0,P11,IPAD_X0Y67,VN_0,55.932,56.494,,,,,,,,,,,,,,,,,,,
0,R11,,DXN_0,65.057,65.711,,,,,,,,,,,,,,,,,,,
0,M12,,VCCADC_0,,,,,,,,,,,,,,,,,,,,,
0,M11,,GNDADC_0,,,,,,,,,,,,,,,,,,,,,
0,R12,,DXP_0,57.708,58.288,,,,,,,,,,,,,,,,,,,
0,N11,,VREFN_0,59.260,59.856,,,,,,,,,,,,,,,,,,,
0,P12,,VREFP_0,49.848,50.349,,,,,,,,,,,,,,,,,,,
0,E8,,VCCBATT_0,,,,,,,,,,,,,,,,,,,,,
0,C8,,CCLK_0,146.573,148.047,,,,,,,,,,,,,,,,,,,
0,L8,,TCK_0,96.261,97.229,,,,,,,,,,,,,,,,,,,
0,N8,,TMS_0,78.487,79.276,,,,,,,,,,,,,,,,,,,
0,R7,,TDO_0,82.635,83.466,,,,,,,,,,,,,,,,,,,
0,R6,,TDI_0,91.268,92.185,,,,,,,,,,,,,,,,,,,
0,G7,,INIT_B_0,128.963,130.259,,,,,,,,,,,,,,,,,,,
0,P6,,PROGRAM_B_0,98.402,99.391,,,,,,,,,,,,,,,,,,,
0,P7,,CFGBVS_0,88.817,89.710,,,,,,,,,,,,,,,,,,CFGBVS_0,
